INFO:root:epoch 769, accuracy is 0.07
INFO:root:epoch 771, accuracy is 0.10
INFO:root:epoch 773, accuracy is 0.10
INFO:root:epoch 775, accuracy is 0.16
INFO:root:epoch 777, accuracy is 0.19
INFO:root:epoch 779, accuracy is 0.12
INFO:root:epoch 781, accuracy is 0.10
INFO:root:epoch 783, accuracy is 0.13
INFO:root:epoch 785, accuracy is 0.09
INFO:root:epoch 787, accuracy is 0.10
INFO:root:epoch 789, accuracy is 0.12
INFO:root:epoch 791, accuracy is 0.10
INFO:root:epoch 793, accuracy is 0.09
INFO:root:epoch 795, accuracy is 0.11
INFO:root:epoch 797, accuracy is 0.10
INFO:root:epoch 799, accuracy is 0.17
INFO:root:epoch 801, accuracy is 0.09
INFO:root:epoch 803, accuracy is 0.13
INFO:root:epoch 805, accuracy is 0.09
INFO:root:epoch 807, accuracy is 0.13
INFO:root:epoch 809, accuracy is 0.07
INFO:root:epoch 811, accuracy is 0.23
INFO:root:epoch 813, accuracy is 0.08
INFO:root:epoch 815, accuracy is 0.09
INFO:root:epoch 817, accuracy is 0.12
INFO:root:epoch 819, accuracy is 0.08
INFO:root:epoch 821, accuracy is 0.13
INFO:root:epoch 823, accuracy is 0.07
INFO:root:epoch 825, accuracy is 0.09
INFO:root:epoch 827, accuracy is 0.16
INFO:root:epoch 829, accuracy is 0.11
INFO:root:epoch 831, accuracy is 0.07
INFO:root:epoch 833, accuracy is 0.11
INFO:root:epoch 835, accuracy is 0.04
INFO:root:epoch 837, accuracy is 0.09
INFO:root:epoch 839, accuracy is 0.17
INFO:root:epoch 841, accuracy is 0.13
INFO:root:epoch 843, accuracy is 0.14
INFO:root:epoch 845, accuracy is 0.08
INFO:root:epoch 847, accuracy is 0.12
INFO:root:epoch 849, accuracy is 0.11
INFO:root:epoch 851, accuracy is 0.11
INFO:root:epoch 853, accuracy is 0.09
INFO:root:epoch 855, accuracy is 0.14
INFO:root:epoch 857, accuracy is 0.18
INFO:root:epoch 859, accuracy is 0.12
INFO:root:epoch 861, accuracy is 0.07
INFO:root:epoch 863, accuracy is 0.09
INFO:root:epoch 865, accuracy is 0.10
INFO:root:epoch 867, accuracy is 0.11
INFO:root:epoch 869, accuracy is 0.10
INFO:root:epoch 871, accuracy is 0.09
INFO:root:epoch 873, accuracy is 0.08
INFO:root:epoch 875, accuracy is 0.15
INFO:root:epoch 877, accuracy is 0.07
INFO:root:epoch 879, accuracy is 0.11
INFO:root:epoch 881, accuracy is 0.10
INFO:root:epoch 883, accuracy is 0.12
INFO:root:epoch 885, accuracy is 0.13
INFO:root:epoch 887, accuracy is 0.12
INFO:root:epoch 889, accuracy is 0.09
INFO:root:epoch 891, accuracy is 0.11
INFO:root:epoch 893, accuracy is 0.09
INFO:root:epoch 895, accuracy is 0.11
INFO:root:epoch 897, accuracy is 0.13
INFO:root:epoch 899, accuracy is 0.13
INFO:root:epoch 901, accuracy is 0.14
INFO:root:epoch 903, accuracy is 0.15
INFO:root:epoch 905, accuracy is 0.11
INFO:root:epoch 907, accuracy is 0.08
INFO:root:epoch 909, accuracy is 0.09
INFO:root:epoch 911, accuracy is 0.11
INFO:root:epoch 913, accuracy is 0.05
INFO:root:epoch 915, accuracy is 0.13
INFO:root:epoch 917, accuracy is 0.11
INFO:root:epoch 919, accuracy is 0.05
INFO:root:epoch 921, accuracy is 0.11
INFO:root:epoch 923, accuracy is 0.10
INFO:root:epoch 925, accuracy is 0.05
INFO:root:epoch 927, accuracy is 0.10
INFO:root:epoch 929, accuracy is 0.08
INFO:root:epoch 931, accuracy is 0.09
INFO:root:epoch 933, accuracy is 0.09
INFO:root:epoch 935, accuracy is 0.11
INFO:root:epoch 937, accuracy is 0.07
INFO:root:epoch 939, accuracy is 0.06
INFO:root:epoch 941, accuracy is 0.09
INFO:root:epoch 943, accuracy is 0.06
INFO:root:epoch 945, accuracy is 0.10
INFO:root:epoch 947, accuracy is 0.12
INFO:root:epoch 949, accuracy is 0.09
INFO:root:epoch 951, accuracy is 0.12
INFO:root:epoch 953, accuracy is 0.19
INFO:root:epoch 955, accuracy is 0.13
INFO:root:epoch 957, accuracy is 0.09
INFO:root:epoch 959, accuracy is 0.12
INFO:root:epoch 961, accuracy is 0.23
INFO:root:epoch 963, accuracy is 0.08
INFO:root:epoch 965, accuracy is 0.16
INFO:root:epoch 967, accuracy is 0.12
INFO:root:epoch 969, accuracy is 0.10
INFO:root:epoch 971, accuracy is 0.10
INFO:root:epoch 973, accuracy is 0.10
INFO:root:epoch 975, accuracy is 0.09
INFO:root:epoch 977, accuracy is 0.18
INFO:root:epoch 979, accuracy is 0.13
INFO:root:epoch 981, accuracy is 0.11
INFO:root:epoch 983, accuracy is 0.10
INFO:root:epoch 985, accuracy is 0.12
INFO:root:epoch 987, accuracy is 0.14
INFO:root:epoch 989, accuracy is 0.18
INFO:root:epoch 991, accuracy is 0.09
INFO:root:epoch 993, accuracy is 0.11
INFO:root:epoch 995, accuracy is 0.16
INFO:root:epoch 997, accuracy is 0.05
INFO:root:epoch 999, accuracy is 0.10
INFO:root:epoch 1001, accuracy is 0.10
INFO:root:epoch 1003, accuracy is 0.07
INFO:root:epoch 1005, accuracy is 0.09
INFO:root:epoch 1007, accuracy is 0.12
INFO:root:epoch 1009, accuracy is 0.09
INFO:root:epoch 1011, accuracy is 0.08
INFO:root:epoch 1013, accuracy is 0.17
INFO:root:epoch 1015, accuracy is 0.10
INFO:root:epoch 1017, accuracy is 0.11
INFO:root:epoch 1019, accuracy is 0.12
INFO:root:epoch 1021, accuracy is 0.06
INFO:root:epoch 1023, accuracy is 0.09
INFO:root:epoch 1025, accuracy is 0.14
INFO:root:epoch 1027, accuracy is 0.12
INFO:root:epoch 1029, accuracy is 0.14
INFO:root:epoch 1031, accuracy is 0.12
INFO:root:epoch 1033, accuracy is 0.09
INFO:root:epoch 1035, accuracy is 0.15
INFO:root:epoch 1037, accuracy is 0.05
INFO:root:epoch 1039, accuracy is 0.09
INFO:root:epoch 1041, accuracy is 0.09
INFO:root:epoch 1043, accuracy is 0.12
INFO:root:epoch 1045, accuracy is 0.19
INFO:root:epoch 1047, accuracy is 0.12
INFO:root:epoch 1049, accuracy is 0.16
INFO:root:epoch 1051, accuracy is 0.11
INFO:root:epoch 1053, accuracy is 0.09
INFO:root:epoch 1055, accuracy is 0.11
INFO:root:epoch 1057, accuracy is 0.16
INFO:root:epoch 1059, accuracy is 0.14
INFO:root:epoch 1061, accuracy is 0.11
INFO:root:epoch 1063, accuracy is 0.07
INFO:root:epoch 1065, accuracy is 0.15
INFO:root:epoch 1067, accuracy is 0.12
INFO:root:epoch 1069, accuracy is 0.19
INFO:root:epoch 1071, accuracy is 0.09
INFO:root:epoch 1073, accuracy is 0.13
INFO:root:epoch 1075, accuracy is 0.10
INFO:root:epoch 1077, accuracy is 0.13
INFO:root:epoch 1079, accuracy is 0.11
INFO:root:epoch 1081, accuracy is 0.09
INFO:root:epoch 1083, accuracy is 0.19
INFO:root:epoch 1085, accuracy is 0.13
INFO:root:epoch 1087, accuracy is 0.12
INFO:root:epoch 1089, accuracy is 0.18
INFO:root:epoch 1091, accuracy is 0.12
INFO:root:epoch 1093, accuracy is 0.14
INFO:root:epoch 1095, accuracy is 0.13
INFO:root:epoch 1097, accuracy is 0.13
INFO:root:epoch 1099, accuracy is 0.14
INFO:root:epoch 1101, accuracy is 0.12
INFO:root:epoch 1103, accuracy is 0.14
INFO:root:epoch 1105, accuracy is 0.15
INFO:root:epoch 1107, accuracy is 0.09
INFO:root:epoch 1109, accuracy is 0.15
INFO:root:epoch 1111, accuracy is 0.11
INFO:root:epoch 1113, accuracy is 0.16
INFO:root:epoch 1115, accuracy is 0.11
INFO:root:epoch 1117, accuracy is 0.17
INFO:root:epoch 1119, accuracy is 0.06
INFO:root:epoch 1121, accuracy is 0.12
INFO:root:epoch 1123, accuracy is 0.11
INFO:root:epoch 1125, accuracy is 0.09
INFO:root:epoch 1127, accuracy is 0.11
INFO:root:epoch 1129, accuracy is 0.15
INFO:root:epoch 1131, accuracy is 0.08
INFO:root:epoch 1133, accuracy is 0.12
INFO:root:epoch 1135, accuracy is 0.14
INFO:root:epoch 1137, accuracy is 0.08
INFO:root:epoch 1139, accuracy is 0.13
INFO:root:epoch 1141, accuracy is 0.09
INFO:root:epoch 1143, accuracy is 0.11
INFO:root:epoch 1145, accuracy is 0.11
INFO:root:epoch 1147, accuracy is 0.05
INFO:root:epoch 1149, accuracy is 0.10
INFO:root:epoch 1151, accuracy is 0.08
INFO:root:epoch 1153, accuracy is 0.18
INFO:root:epoch 1155, accuracy is 0.14
INFO:root:epoch 1157, accuracy is 0.12
INFO:root:epoch 1159, accuracy is 0.13
INFO:root:epoch 1161, accuracy is 0.13
INFO:root:epoch 1163, accuracy is 0.19
INFO:root:epoch 1165, accuracy is 0.09
INFO:root:epoch 1167, accuracy is 0.20
INFO:root:epoch 1169, accuracy is 0.15
INFO:root:epoch 1171, accuracy is 0.14
INFO:root:epoch 1173, accuracy is 0.11
INFO:root:epoch 1175, accuracy is 0.14
INFO:root:epoch 1177, accuracy is 0.12
INFO:root:epoch 1179, accuracy is 0.12
INFO:root:epoch 1181, accuracy is 0.15
INFO:root:epoch 1183, accuracy is 0.05
INFO:root:epoch 1185, accuracy is 0.13
INFO:root:epoch 1187, accuracy is 0.13
INFO:root:epoch 1189, accuracy is 0.12
INFO:root:epoch 1191, accuracy is 0.19
INFO:root:epoch 1193, accuracy is 0.11
INFO:root:epoch 1195, accuracy is 0.10
INFO:root:epoch 1197, accuracy is 0.11
INFO:root:epoch 1199, accuracy is 0.12
INFO:root:epoch 1201, accuracy is 0.12
INFO:root:epoch 1203, accuracy is 0.16
INFO:root:epoch 1205, accuracy is 0.12
INFO:root:epoch 1207, accuracy is 0.08
INFO:root:epoch 1209, accuracy is 0.12
INFO:root:epoch 1211, accuracy is 0.14
INFO:root:epoch 1213, accuracy is 0.12
INFO:root:epoch 1215, accuracy is 0.13
INFO:root:epoch 1217, accuracy is 0.13
INFO:root:epoch 1219, accuracy is 0.10
INFO:root:epoch 1221, accuracy is 0.12
INFO:root:epoch 1223, accuracy is 0.16
INFO:root:epoch 1225, accuracy is 0.06
INFO:root:epoch 1227, accuracy is 0.09
INFO:root:epoch 1229, accuracy is 0.16
INFO:root:epoch 1231, accuracy is 0.13
INFO:root:epoch 1233, accuracy is 0.12
INFO:root:epoch 1235, accuracy is 0.12
INFO:root:epoch 1237, accuracy is 0.16
INFO:root:epoch 1239, accuracy is 0.14
INFO:root:epoch 1241, accuracy is 0.16
INFO:root:epoch 1243, accuracy is 0.15
INFO:root:epoch 1245, accuracy is 0.11
INFO:root:epoch 1247, accuracy is 0.20
INFO:root:epoch 1249, accuracy is 0.16
INFO:root:epoch 1251, accuracy is 0.13
INFO:root:epoch 1253, accuracy is 0.13
INFO:root:epoch 1255, accuracy is 0.13
INFO:root:epoch 1257, accuracy is 0.14
INFO:root:epoch 1259, accuracy is 0.12
